exp_pattern,cv,acc,Sensitivity,Specificity
1,1,0.6370106761565836,0.61565834,0.658363
 ,2,0.6436170212765957,0.6312057,0.6560284
 ,3,0.6400709219858156,0.5992908,0.68085104
2a,1,0.75,0.775,0.725
 ,2,0.7520661157024794,0.7355372,0.76859504
 ,3,0.7975206611570248,0.8181818,0.7768595
2b,1,0.6346153846153846,0.5555556,0.7136752
 ,2,0.64453125,0.4453125,0.84375
3,1,0.8283582089552238,0.8208955,0.8358209
 ,2,0.9117647058823529,0.9264706,0.89705884
 ,3,0.8161764705882353,0.86764705,0.7647059
