exp_pattern,cv,acc,Sensitivity,Specificity
1,1,0.5160142348754448,0.93594307,0.09608541
 ,2,0.5212765957446809,0.18439716,0.858156
 ,3,0.5159574468085106,0.95035464,0.081560284
2a,1,0.5083333333333333,0.14166667,0.875
 ,2,0.5371900826446281,0.12396694,0.9504132
 ,3,0.5619834710743802,0.24793388,0.87603307
2b,1,0.5405982905982906,0.1923077,0.8888889
 ,2,0.5078125,0.078125,0.9375
3,1,0.582089552238806,0.31343284,0.8507463
 ,2,0.5882352941176471,0.3529412,0.8235294
 ,3,0.5661764705882353,0.25,0.88235295
