gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	A	B	C	D	E	F	G	H	I
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	0.047	0.052	0.033	0.017	0.118	0.023	0.03	0.02	0.076
CYP11A1	P05108	True	CP11A_HUMAN	22Hydroxycholesterol_byCYP11A1	CPI-CS08D535BCF	0.199	0.064	0.092	0.119	0.151	0.09	0.055	0.06	0.034
CYP3A4	P08684	True	CP3A4_HUMAN	22Hydroxycholesterol_byCYP3A4	CPI-CS01C347639	0.022	0.046	0.003	0.003	0.018	0.064	0.024	0.013	0.008
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	3.147	3.558	3.02	3.383	3.925	0.887	1.47	1.76	1.966
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	3.147	3.558	3.02	3.383	3.925	0.887	1.47	1.76	1.966
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	3.147	3.558	3.02	3.383	3.925	0.887	1.47	1.76	1.966
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	1.479	0.982	1.948	1.647	1.423	0.688	0.835	0.833	1.085
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	1.479	0.982	1.948	1.647	1.423	0.688	0.835	0.833	1.085
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	1.479	0.982	1.948	1.647	1.423	0.688	0.835	0.833	1.085
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	0.0	0.0	0.003	0.0	0.0	0.0	0.006	0.0	0.008
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.518	0.488	0.646	0.637	0.796	0.271	0.36	0.46	0.542
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.518	0.488	0.646	0.637	0.796	0.271	0.36	0.46	0.542
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.518	0.488	0.646	0.637	0.796	0.271	0.36	0.46	0.542
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS00F859B66	0.518	0.488	0.646	0.637	0.796	0.271	0.36	0.46	0.542
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS04751C6A3	0.518	0.488	0.646	0.637	0.796	0.271	0.36	0.46	0.542
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS0DD3F421C	0.518	0.488	0.646	0.637	0.796	0.271	0.36	0.46	0.542
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CC0490ADAF8	0.518	0.488	0.646	0.637	0.796	0.271	0.36	0.46	0.542
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CC02979D66D	0.518	0.488	0.646	0.637	0.796	0.271	0.36	0.46	0.542
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CC0C6A98CDA	0.518	0.488	0.646	0.637	0.796	0.271	0.36	0.46	0.542
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS0E467E60C	0.518	0.488	0.646	0.637	0.796	0.271	0.36	0.46	0.542
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS0B174B76B	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS0FA9360D5	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS0306FC954	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CC0E18AEFB6	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CC003E0125E	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CC0C3B561BC	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS004C594E2	0.158	0.15	0.305	0.136	0.129	0.132	0.232	0.267	0.449
ACVR1	Q04771	True	ACVR1_HUMAN	MIS_receptor_3	CPI-CS0B5D1E156	0.036	0.067	0.013	0.02	0.018	0.034	0.049	0.033	0.008
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.518	0.488	0.646	0.637	0.796	0.271	0.36	0.46	0.542
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.518	0.488	0.646	0.637	0.796	0.271	0.36	0.46	0.542
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.518	0.488	0.646	0.637	0.796	0.271	0.36	0.46	0.542
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS05EAF93CC	0.662	0.699	0.862	0.651	0.928	0.609	0.866	0.647	1.203
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS046BCFC6F	0.662	0.699	0.862	0.651	0.928	0.609	0.866	0.647	1.203
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0F6CFB979	0.662	0.699	0.862	0.651	0.928	0.609	0.866	0.647	1.203
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0E4E75E3B	0.662	0.699	0.862	0.651	0.928	0.609	0.866	0.647	1.203
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0E54FF657	0.662	0.699	0.862	0.651	0.928	0.609	0.866	0.647	1.203
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0B9A4CA4D	0.662	0.699	0.862	0.651	0.928	0.609	0.866	0.647	1.203
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0CFA0E4C5	0.662	0.699	0.862	0.651	0.928	0.609	0.866	0.647	1.203
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS08109C435	0.438	0.555	0.649	0.454	0.509	0.353	0.616	0.453	0.729
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS02C93975C	0.438	0.555	0.649	0.454	0.509	0.353	0.616	0.453	0.729
