,train_loss,train_acc,valid_loss,valid_acc,test_loss,test_acc
0,51.194927,0.52366865,15.665558,0.5410959,25.278954,0.52916664
1,50.156956,0.52662724,15.149906,0.5410959,24.549984,0.525
2,49.212757,0.5295858,14.685356,0.5410959,23.876554,0.5416667
3,48.210346,0.5414201,14.192796,0.5205479,23.174559,0.53333336
4,47.223236,0.56213015,13.724844,0.53424656,22.495796,0.53333336
5,46.173264,0.5739645,13.234181,0.55479455,21.784246,0.52916664
6,45.21854,0.58284026,12.784683,0.58219177,21.132153,0.55
7,44.267956,0.6035503,12.340236,0.58219177,20.48431,0.57916665
8,43.27405,0.60650885,11.889149,0.60273975,19.835588,0.57916665
9,42.325214,0.60946745,11.461173,0.65753424,19.21622,0.6041667
10,41.411808,0.6005917,11.057921,0.6643836,18.619408,0.6
11,40.546227,0.5976331,10.686828,0.65753424,18.062805,0.6125
12,39.6917,0.6035503,10.3343725,0.6643836,17.511871,0.60833335
13,38.85955,0.6213018,10.002868,0.67808217,16.983328,0.60833335
14,38.03103,0.61242604,9.686778,0.67808217,16.474346,0.60833335
15,37.284042,0.60650885,9.4025545,0.67808217,16.00593,0.625
16,36.56395,0.6035503,9.129335,0.69863015,15.556613,0.6333333
17,35.857048,0.5976331,8.875739,0.69863015,15.134103,0.60833335
18,35.20125,0.58284026,8.660337,0.6849315,14.761188,0.60833335
19,34.66193,0.591716,8.499813,0.67808217,14.4570675,0.60833335
20,34.172005,0.591716,8.362344,0.6712329,14.193393,0.59583336
21,33.642906,0.5857988,8.244775,0.67808217,13.929399,0.59166664
22,33.122673,0.57988167,8.163247,0.6712329,13.687456,0.59166664
23,32.58575,0.57100594,8.096056,0.6643836,13.447939,0.59583336
24,32.08872,0.5769231,8.054443,0.65753424,13.227336,0.5875
25,31.636185,0.5857988,8.021903,0.65753424,13.051688,0.5833333
26,31.23965,0.58284026,8.0052595,0.6643836,12.90665,0.5875
27,30.897757,0.58284026,7.9932284,0.6643836,12.788623,0.5875
28,30.544294,0.57988167,7.9756904,0.65753424,12.669711,0.59583336
29,30.174227,0.57988167,7.9648285,0.65068495,12.551771,0.59583336
30,29.75061,0.5857988,7.963874,0.65068495,12.427166,0.5875
31,29.423183,0.5976331,7.9387155,0.6438356,12.327809,0.6
32,29.095451,0.591716,7.9114156,0.6438356,12.233679,0.6
33,28.812943,0.5976331,7.8842564,0.6369863,12.154484,0.59583336
34,28.495094,0.5857988,7.854307,0.6232877,12.068497,0.59166664
35,28.19874,0.5769231,7.812659,0.60958904,11.990772,0.57916665
36,27.89961,0.5769231,7.77793,0.60958904,11.925199,0.55833334
37,27.57831,0.57100594,7.717175,0.60958904,11.837614,0.55
38,27.297615,0.5769231,7.667315,0.60273975,11.768545,0.5208333
39,27.012276,0.56508875,7.617002,0.5890411,11.698236,0.51666665
40,26.720491,0.5591716,7.5649614,0.58219177,11.632242,0.5125
41,26.48121,0.5532544,7.514534,0.5753425,11.572592,0.5125
42,26.228611,0.5443787,7.4551716,0.56164384,11.506771,0.5125
43,26.015259,0.535503,7.389621,0.55479455,11.432463,0.5
44,25.75599,0.5295858,7.3363123,0.55479455,11.366395,0.50416666
45,25.494091,0.52366865,7.2752,0.55479455,11.287929,0.5
