,adj1,adj2,adj3,adj4
ENSG00000121797-ENSG00000157873,0.0,-1.0,0.0,0.0
ENSG00000106123-ENSG00000142512,0.0,0.0,0.0,0.0
ENSG00000091879-ENSG00000157873,0.0,0.0,0.0,0.0
ENSG00000144648-ENSG00000205213,0.0,-1.0,0.0,0.0
ENSG00000112038-ENSG00000157873,0.0,0.0,0.0,0.0
ENSG00000116106-ENSG00000122223,0.0,0.0,0.0,0.0
ENSG00000004948-ENSG00000275718,0.0,0.0,0.0,0.0
ENSG00000117090-ENSG00000170075,0.0,0.0,0.0,0.0
ENSG00000026103-ENSG00000172179,0.0,0.0,0.0,0.0
ENSG00000115353-ENSG00000188404,0.0,0.0,0.0,0.0
ENSG00000120242-ENSG00000196126,0.0,-1.0,0.0,0.0
ENSG00000187323-ENSG00000198400,0.0,0.0,0.0,0.0
ENSG00000128917-ENSG00000204592,0.0,0.0,0.0,0.0
ENSG00000122861-ENSG00000157168,0.0,-1.0,0.0,0.0
ENSG00000185559-ENSG00000240505,0.0,0.0,0.0,0.0
ENSG00000112761-ENSG00000138798,0.0,-1.0,0.0,0.0
ENSG00000152894-ENSG00000161610,0.0,-1.0,0.0,0.0
ENSG00000117560-ENSG00000171051,0.0,-1.0,0.0,0.0
ENSG00000105220-ENSG00000169752,0.0,-1.0,0.0,0.0
ENSG00000169752-ENSG00000242689,0.0,0.0,0.0,0.0
ENSG00000136244-ENSG00000143761,0.0,-1.0,0.0,0.0
ENSG00000090554-ENSG00000113494,0.0,-1.0,0.0,0.0
ENSG00000049130-ENSG00000134245,0.0,-1.0,0.0,0.0
ENSG00000184371-ENSG00000214285,0.0,0.0,0.0,0.0
ENSG00000124089-ENSG00000128602,0.0,0.0,0.0,0.0
ENSG00000011600-ENSG00000107018,0.0,0.0,0.0,0.0
ENSG00000106113-ENSG00000163485,0.0,-1.0,0.0,0.0
ENSG00000106483-ENSG00000150630,0.0,0.0,0.0,0.0
ENSG00000108688-ENSG00000121807,0.0,-1.0,0.0,0.0
ENSG00000019991-ENSG00000143184,0.0,0.0,0.0,0.0
ENSG00000077782-ENSG00000101958,0.0,-1.0,0.0,0.0
ENSG00000101280-ENSG00000186810,0.0,-1.0,0.0,0.0
ENSG00000019582-ENSG00000215788,0.0,-1.0,0.0,0.0
ENSG00000092096-ENSG00000219438,0.0,-1.0,0.0,0.0
ENSG00000039068-ENSG00000095539,0.0,0.0,0.0,0.0
ENSG00000081237-ENSG00000158815,0.0,0.0,0.0,0.0
ENSG00000135218-ENSG00000166086,0.0,0.0,0.0,0.0
ENSG00000044524-ENSG00000205213,0.0,0.0,0.0,0.0
ENSG00000091879-ENSG00000092445,0.0,0.0,0.0,0.0
ENSG00000061492-ENSG00000118257,0.0,0.0,0.0,0.0
ENSG00000113070-ENSG00000156234,0.0,0.0,0.0,0.0
ENSG00000185652-ENSG00000197081,0.0,0.0,0.0,0.0
ENSG00000110680-ENSG00000243772,0.0,0.0,0.0,0.0
ENSG00000134443-ENSG00000163823,0.0,0.0,0.0,0.0
ENSG00000116329-ENSG00000241563,0.0,-1.0,0.0,0.0
ENSG00000137101-ENSG00000225950,0.0,-1.0,0.0,0.0
ENSG00000118785-ENSG00000170558,0.0,-1.0,0.0,0.0
ENSG00000069702-ENSG00000163599,0.0,0.0,0.0,0.0
ENSG00000162552-ENSG00000168079,0.0,0.0,0.0,0.0
ENSG00000174175-ENSG00000197471,0.0,-1.0,0.0,0.0
ENSG00000089692-ENSG00000095539,0.0,0.0,0.0,0.0
ENSG00000173080-ENSG00000188157,0.0,-1.0,0.0,0.0
ENSG00000135577-ENSG00000267534,0.0,0.0,0.0,0.0
ENSG00000154721-ENSG00000163823,0.0,-1.0,0.0,0.0
ENSG00000132170-ENSG00000170558,0.0,-1.0,0.0,0.0
ENSG00000122861-ENSG00000135744,0.0,0.0,0.0,0.0
ENSG00000172349-ENSG00000233816,0.0,0.0,0.0,0.0
ENSG00000134640-ENSG00000135744,0.0,0.0,0.0,0.0
ENSG00000123496-ENSG00000130283,0.0,-1.0,0.0,0.0
ENSG00000105767-ENSG00000106123,0.0,-1.0,0.0,0.0
ENSG00000125510-ENSG00000134640,0.0,0.0,0.0,0.0
ENSG00000136040-ENSG00000160801,0.0,-1.0,0.0,0.0
ENSG00000071677-ENSG00000154639,0.0,0.0,0.0,0.0
ENSG00000154134-ENSG00000186810,0.0,0.0,0.0,0.0
ENSG00000147655-ENSG00000149932,0.0,-1.0,0.0,0.0
ENSG00000112164-ENSG00000144407,0.0,0.0,0.0,0.0
ENSG00000111321-ENSG00000121807,0.0,0.0,0.0,0.0
ENSG00000085741-ENSG00000149294,0.0,-1.0,0.0,0.0
ENSG00000095539-ENSG00000174175,0.0,0.0,0.0,0.0
ENSG00000004399-ENSG00000197635,0.0,0.0,0.0,0.0
ENSG00000175505-ENSG00000197461,0.0,-1.0,0.0,0.0
