,adj1,adj2,adj3,adj4
ENSG00000162552-ENSG00000120057,0.0,1.0,0.0,0.0
ENSG00000101405-ENSG00000180914,0.0,0.0,0.0,0.0
ENSG00000113578-ENSG00000160867,0.0,0.0,0.0,0.0
ENSG00000110400-ENSG00000177707,0.0,0.0,0.0,0.0
ENSG00000154342-ENSG00000104332,0.0,1.0,0.0,0.0
ENSG00000100311-ENSG00000134853,0.0,1.0,0.0,0.0
ENSG00000125084-ENSG00000162998,0.0,0.0,0.0,0.0
ENSG00000183395-ENSG00000128285,0.0,1.0,0.0,0.0
ENSG00000101017-ENSG00000248099,0.0,0.0,0.0,0.0
ENSG00000232810-ENSG00000067182,0.0,0.0,0.0,0.0
ENSG00000147655-ENSG00000205213,0.0,1.0,0.0,0.0
ENSG00000111186-ENSG00000156076,0.0,1.0,0.0,0.0
ENSG00000106113-ENSG00000178473,0.0,0.0,0.0,0.0
ENSG00000107018-ENSG00000171509,0.0,0.0,0.0,0.0
ENSG00000144648-ENSG00000108700,0.0,0.0,0.0,0.0
ENSG00000101384-ENSG00000134250,0.0,1.0,0.0,0.0
ENSG00000122218-ENSG00000134243,0.0,0.0,0.0,0.0
ENSG00000090339-ENSG00000005844,0.0,0.0,0.0,0.0
ENSG00000163599-ENSG00000114013,0.0,1.0,0.0,0.0
ENSG00000099250-ENSG00000075213,0.0,1.0,0.0,0.0
ENSG00000174600-ENSG00000106538,0.0,1.0,0.0,0.0
ENSG00000066468-ENSG00000102678,0.0,1.0,0.0,0.0
ENSG00000276070-ENSG00000165370,0.0,0.0,0.0,0.0
ENSG00000232810-ENSG00000148400,0.0,0.0,0.0,0.0
ENSG00000148400-ENSG00000090932,0.0,1.0,0.0,0.0
ENSG00000066468-ENSG00000143324,0.0,1.0,0.0,0.0
ENSG00000130427-ENSG00000196411,0.0,1.0,0.0,0.0
ENSG00000182578-ENSG00000184371,0.0,1.0,0.0,0.0
ENSG00000146648-ENSG00000242689,0.0,1.0,0.0,0.0
ENSG00000125657-ENSG00000049249,0.0,1.0,0.0,0.0
ENSG00000188157-ENSG00000105426,0.0,1.0,0.0,0.0
ENSG00000065320-ENSG00000107731,0.0,1.0,0.0,0.0
ENSG00000068078-ENSG00000078579,0.0,0.0,0.0,0.0
ENSG00000130427-ENSG00000187266,0.0,1.0,0.0,0.0
ENSG00000105894-ENSG00000105426,0.0,0.0,0.0,0.0
ENSG00000066468-ENSG00000068078,0.0,1.0,0.0,0.0
ENSG00000154342-ENSG00000123384,0.0,1.0,0.0,0.0
ENSG00000159723-ENSG00000124089,0.0,0.0,0.0,0.0
ENSG00000073008-ENSG00000153283,0.0,0.0,0.0,0.0
ENSG00000044524-ENSG00000243364,0.0,0.0,0.0,0.0
ENSG00000125657-ENSG00000159618,0.0,0.0,0.0,0.0
