,train_loss,train_acc,valid_loss,valid_acc,test_loss,test_acc
0,14.711676,0.45266274,9.268951,0.45890412,13.383959,0.48333332
1,14.581497,0.44674557,9.174492,0.46575344,13.250712,0.47916666
2,14.45122,0.44674557,9.0779505,0.46575344,13.114834,0.475
3,14.3373995,0.43786982,8.996061,0.44520548,13.002305,0.46666667
4,14.220321,0.43491125,8.913163,0.44520548,12.888019,0.46666667
5,14.083372,0.4289941,8.812369,0.43835616,12.745521,0.46666667
6,13.965921,0.4260355,8.72991,0.43835616,12.629083,0.46666667
7,13.838973,0.4260355,8.635659,0.43835616,12.49626,0.46666667
8,13.709034,0.4260355,8.54041,0.43150684,12.361347,0.45416668
9,13.575804,0.4260355,8.444616,0.43835616,12.223538,0.45416668
10,13.457089,0.4260355,8.360357,0.44520548,12.104498,0.45416668
11,13.32884,0.4289941,8.268575,0.44520548,11.973444,0.45416668
12,13.205928,0.4260355,8.18106,0.44520548,11.849217,0.45416668
13,13.078412,0.4260355,8.088141,0.44520548,11.716338,0.45833334
14,12.966401,0.41420117,8.008508,0.43835616,11.604804,0.45416668
15,12.841931,0.4112426,7.923146,0.43835616,11.4828615,0.45
16,12.716572,0.40828404,7.8341975,0.43150684,11.355898,0.45
17,12.595127,0.40532544,7.746888,0.43835616,11.232457,0.45
18,12.468201,0.40532544,7.655379,0.43835616,11.101085,0.45
19,12.344284,0.40532544,7.569525,0.43835616,10.979185,0.45416668
20,12.209854,0.40532544,7.4750977,0.43835616,10.84148,0.45416668
21,12.091569,0.3964497,7.392539,0.43835616,10.720771,0.45416668
22,11.968843,0.3964497,7.3057094,0.43835616,10.597111,0.45833334
23,11.848714,0.39349112,7.2211695,0.43835616,10.475235,0.45833334
24,11.729491,0.39349112,7.138069,0.43835616,10.356345,0.4625
25,11.605941,0.38757396,7.051348,0.43835616,10.230594,0.4625
26,11.473009,0.3846154,6.956218,0.43835616,10.090433,0.45833334
27,11.347353,0.3816568,6.8659563,0.43835616,9.959856,0.45416668
28,11.222091,0.3816568,6.778559,0.44520548,9.832099,0.45416668
29,11.098935,0.3816568,6.6930428,0.4520548,9.706418,0.45416668
30,10.984527,0.37869823,6.6168065,0.44520548,9.597103,0.45416668
31,10.859506,0.3816568,6.5311847,0.44520548,9.472079,0.45416668
32,10.742397,0.37869823,6.449254,0.44520548,9.353267,0.45416668
33,10.614205,0.37869823,6.358129,0.4520548,9.218131,0.45833334
34,10.492706,0.3816568,6.2768683,0.45890412,9.099104,0.45833334
35,10.367325,0.3846154,6.191504,0.4520548,8.972417,0.45416668
36,10.244202,0.3816568,6.106674,0.45890412,8.847384,0.45
37,10.134614,0.37869823,6.0308237,0.4520548,8.735974,0.45833334
38,10.020206,0.3816568,5.9533486,0.45890412,8.625247,0.4625
39,9.917601,0.3816568,5.8865156,0.4520548,8.531208,0.4625
40,9.79509,0.3816568,5.8030725,0.45890412,8.408202,0.46666667
41,9.67636,0.3846154,5.722726,0.45890412,8.288917,0.46666667
42,9.553343,0.38757396,5.6368,0.4520548,8.160729,0.4625
43,9.440369,0.38757396,5.560416,0.4520548,8.0481,0.4625
44,9.319784,0.3846154,5.4795046,0.4520548,7.9271774,0.47083333
45,9.200297,0.37869823,5.397228,0.4520548,7.8050184,0.475
46,9.0975895,0.37869823,5.328472,0.4520548,7.705109,0.475
47,8.973004,0.3846154,5.2432065,0.4520548,7.5770216,0.47916666
48,8.862771,0.3846154,5.168634,0.44520548,7.467801,0.475
49,8.752027,0.3846154,5.095556,0.43835616,7.361152,0.475
