,adj1,adj2,adj3,adj4
ENSG00000161509-ENSG00000162337,0.0,-1.0,0.0,0.0
ENSG00000145431-ENSG00000186265,0.0,0.0,0.0,0.0
ENSG00000161944-ENSG00000278195,0.0,0.0,0.0,0.0
ENSG00000146469-ENSG00000161921,0.0,-1.0,0.0,0.0
ENSG00000114631-ENSG00000163606,0.0,0.0,0.0,0.0
ENSG00000091879-ENSG00000168621,0.0,0.0,0.0,0.0
ENSG00000157404-ENSG00000197746,0.0,-1.0,0.0,0.0
ENSG00000198049-ENSG00000277632,0.0,0.0,0.0,0.0
ENSG00000101327-ENSG00000175206,0.0,-1.0,0.0,0.0
ENSG00000111321-ENSG00000126895,0.0,0.0,0.0,0.0
ENSG00000049249-ENSG00000101200,0.0,0.0,0.0,0.0
ENSG00000156234-ENSG00000178752,0.0,0.0,0.0,0.0
ENSG00000019582-ENSG00000049249,0.0,0.0,0.0,0.0
ENSG00000123496-ENSG00000170893,0.0,0.0,0.0,0.0
ENSG00000088367-ENSG00000159899,0.0,-1.0,0.0,0.0
ENSG00000049130-ENSG00000128567,0.0,-1.0,0.0,0.0
ENSG00000104332-ENSG00000135218,0.0,-1.0,0.0,0.0
ENSG00000113389-ENSG00000160013,0.0,0.0,0.0,0.0
ENSG00000119973-ENSG00000134817,0.0,0.0,0.0,0.0
ENSG00000106128-ENSG00000151617,0.0,0.0,0.0,0.0
ENSG00000011028-ENSG00000154188,0.0,-1.0,0.0,0.0
ENSG00000105464-ENSG00000225950,0.0,0.0,0.0,0.0
ENSG00000145242-ENSG00000157368,0.0,-1.0,0.0,0.0
ENSG00000074181-ENSG00000169442,0.0,-1.0,0.0,0.0
ENSG00000165197-ENSG00000172349,0.0,-1.0,0.0,0.0
ENSG00000145242-ENSG00000179934,0.0,0.0,0.0,0.0
ENSG00000074527-ENSG00000197646,0.0,0.0,0.0,0.0
ENSG00000156687-ENSG00000163377,0.0,-1.0,0.0,0.0
ENSG00000064300-ENSG00000164040,0.0,0.0,0.0,0.0
ENSG00000081138-ENSG00000145242,0.0,-1.0,0.0,0.0
ENSG00000081138-ENSG00000179776,0.0,-1.0,0.0,0.0
ENSG00000135218-ENSG00000146469,0.0,0.0,0.0,0.0
ENSG00000153233-ENSG00000171860,0.0,-1.0,0.0,0.0
ENSG00000102524-ENSG00000243772,0.0,0.0,0.0,0.0
ENSG00000106483-ENSG00000239961,0.0,0.0,0.0,0.0
ENSG00000102678-ENSG00000149932,0.0,-1.0,0.0,0.0
ENSG00000002745-ENSG00000160801,0.0,0.0,0.0,0.0
