,train_loss,train_acc,valid_loss,valid_acc,test_loss,test_acc
0,30.307915,0.4408284,23.28967,0.5068493,23.653934,0.4375
1,29.496822,0.44674557,22.593676,0.51369864,22.99171,0.4375
2,28.70873,0.43491125,21.945452,0.51369864,22.373594,0.42083332
3,27.924501,0.43491125,21.305155,0.5068493,21.771204,0.42083332
4,27.092768,0.4289941,20.597813,0.49315068,21.108036,0.42083332
5,26.345642,0.4289941,20.003672,0.49315068,20.555372,0.42083332
6,25.571692,0.43491125,19.367874,0.49315068,19.959652,0.425
7,24.826273,0.43491125,18.767958,0.48630136,19.39544,0.42083332
8,24.084843,0.4260355,18.146688,0.47945204,18.798746,0.42916667
9,23.346838,0.4289941,17.531054,0.47945204,18.216753,0.43333334
10,22.583242,0.4260355,16.937302,0.47945204,17.653555,0.425
11,21.847374,0.4289941,16.32717,0.48630136,17.07716,0.425
12,21.12547,0.43491125,15.739784,0.49315068,16.524954,0.43333334
13,20.423737,0.43195266,15.178343,0.5,15.989035,0.4375
14,19.738138,0.43195266,14.6181,0.49315068,15.42909,0.4375
15,19.090384,0.43491125,14.125517,0.5,14.903141,0.4375
16,18.484037,0.44970414,13.681366,0.5205479,14.385777,0.44583333
17,17.942574,0.44674557,13.258904,0.5205479,13.968937,0.45416668
18,17.496872,0.44674557,12.917166,0.5273973,13.7077265,0.4625
19,17.126352,0.44674557,12.576026,0.53424656,13.439123,0.46666667
20,16.764845,0.45266274,12.310252,0.5479452,13.232004,0.46666667
21,16.440872,0.44970414,12.028889,0.5479452,13.01111,0.4625
22,16.092894,0.46449703,11.747218,0.5479452,12.798382,0.4625
23,15.732156,0.46745563,11.491262,0.56164384,12.615965,0.4625
24,15.383461,0.4733728,11.217471,0.5753425,12.414659,0.46666667
25,15.052581,0.48816568,10.941349,0.56164384,12.208812,0.47083333
26,14.754094,0.5,10.722805,0.58219177,12.044791,0.47083333
27,14.481083,0.49704143,10.458099,0.58219177,11.846664,0.4625
28,14.241565,0.49112427,10.234414,0.5958904,11.652903,0.47083333
29,13.980164,0.49112427,9.971345,0.5958904,11.450654,0.475
30,13.736892,0.49112427,9.731896,0.5958904,11.257464,0.47916666
31,13.470576,0.5,9.534773,0.60273975,11.128016,0.4875
32,13.207414,0.5029586,9.277985,0.60273975,10.952382,0.4875
33,13.010596,0.50591713,9.078795,0.60958904,10.811401,0.48333332
34,12.855223,0.5029586,8.928687,0.60958904,10.705293,0.47916666
35,12.705926,0.5118343,8.772131,0.6232877,10.600886,0.47916666
36,12.52655,0.5147929,8.5828495,0.60958904,10.472559,0.47083333
37,12.387454,0.5088757,8.431661,0.6164383,10.364448,0.475
38,12.282257,0.51775146,8.355441,0.60958904,10.306561,0.47916666
39,12.179591,0.52366865,8.244159,0.60958904,10.224011,0.48333332
40,12.096035,0.52071005,8.173595,0.6164383,10.158207,0.49583334
41,12.018919,0.52662724,8.158457,0.6232877,10.119801,0.49166667
42,11.932542,0.5295858,8.099482,0.63013697,10.055369,0.49583334
43,11.852753,0.535503,8.022619,0.6369863,9.985286,0.5083333
44,11.772146,0.53846157,8.018655,0.6369863,9.934182,0.5083333
45,11.702389,0.5414201,7.9891224,0.6369863,9.875967,0.5125
46,11.632402,0.5473373,7.941907,0.6369863,9.820705,0.51666665
47,11.568329,0.5502958,7.898429,0.6438356,9.77665,0.5125
48,11.525129,0.5532544,7.868376,0.6438356,9.734799,0.5208333
49,11.459595,0.56804734,7.8137383,0.6438356,9.683302,0.52916664
50,11.396129,0.57100594,7.7731733,0.6438356,9.630067,0.53333336
51,11.333482,0.57988167,7.74295,0.6438356,9.572817,0.5375
52,11.276483,0.58284026,7.702809,0.65068495,9.525805,0.54583335
53,11.219201,0.5857988,7.6817517,0.6643836,9.4911995,0.54583335
54,11.193568,0.591716,7.6792855,0.6643836,9.469947,0.54583335
55,11.135032,0.5887574,7.625639,0.6643836,9.426126,0.55
56,11.068657,0.5976331,7.570519,0.6643836,9.371449,0.5541667
57,11.02155,0.5976331,7.5501966,0.6712329,9.334292,0.5541667
58,10.980889,0.6005917,7.4975176,0.6712329,9.289582,0.5541667
