,adj1,adj2,adj3,adj4
ENSG00000064300-ENSG00000176697,0.0,1.0,0.0,0.0
ENSG00000100311-ENSG00000134853,0.0,1.0,0.0,0.0
ENSG00000104332-ENSG00000134245,0.0,1.0,0.0,0.0
ENSG00000134245-ENSG00000156076,0.0,1.0,0.0,0.0
ENSG00000259384-ENSG00000112964,0.0,1.0,0.0,0.0
ENSG00000163485-ENSG00000138185,0.0,0.0,0.0,0.0
ENSG00000143816-ENSG00000156076,0.0,1.0,0.0,0.0
ENSG00000114251-ENSG00000162998,0.0,1.0,0.0,0.0
ENSG00000066468-ENSG00000110400,0.0,1.0,0.0,0.0
ENSG00000146648-ENSG00000122218,0.0,1.0,0.0,0.0
ENSG00000185652-ENSG00000140538,0.0,0.0,0.0,0.0
ENSG00000259384-ENSG00000113494,0.0,0.0,0.0,0.0
ENSG00000028137-ENSG00000030582,0.0,1.0,0.0,0.0
ENSG00000183454-ENSG00000172349,0.0,0.0,0.0,0.0
ENSG00000128271-ENSG00000138185,0.0,1.0,0.0,0.0
ENSG00000148400-ENSG00000090932,0.0,1.0,0.0,0.0
ENSG00000011600-ENSG00000026508,0.0,1.0,0.0,0.0
ENSG00000144476-ENSG00000107562,0.0,1.0,0.0,0.0
ENSG00000099617-ENSG00000070886,0.0,1.0,0.0,0.0
ENSG00000162552-ENSG00000128602,0.0,1.0,0.0,0.0
ENSG00000185737-ENSG00000178568,0.0,1.0,0.0,0.0
ENSG00000113361-ENSG00000113361,0.0,1.0,0.0,0.0
ENSG00000070886-ENSG00000143590,0.0,1.0,0.0,0.0
ENSG00000143590-ENSG00000135333,0.0,1.0,0.0,0.0
ENSG00000026508-ENSG00000066468,0.0,1.0,0.0,0.0
ENSG00000108379-ENSG00000120057,0.0,1.0,0.0,0.0
ENSG00000146648-ENSG00000240972,0.0,1.0,0.0,0.0
ENSG00000188064-ENSG00000104332,0.0,1.0,0.0,0.0
ENSG00000197461-ENSG00000134853,0.0,1.0,0.0,0.0
ENSG00000099250-ENSG00000112715,0.0,1.0,0.0,0.0
ENSG00000120156-ENSG00000154188,0.0,1.0,0.0,0.0
ENSG00000141433-ENSG00000114812,0.0,1.0,0.0,0.0
ENSG00000099617-ENSG00000044524,0.0,1.0,0.0,0.0
ENSG00000068078-ENSG00000102678,0.0,1.0,0.0,0.0
ENSG00000044524-ENSG00000184349,0.0,1.0,0.0,0.0
ENSG00000146469-ENSG00000197635,0.0,1.0,0.0,0.0
ENSG00000138685-ENSG00000068078,0.0,0.0,0.0,0.0
ENSG00000070193-ENSG00000066468,0.0,1.0,0.0,0.0
ENSG00000130202-ENSG00000177707,0.0,0.0,0.0,0.0
ENSG00000241563-ENSG00000132671,0.0,1.0,0.0,0.0
ENSG00000105976-ENSG00000019991,0.0,1.0,0.0,0.0
ENSG00000146648-ENSG00000105329,0.0,1.0,0.0,0.0
ENSG00000179776-ENSG00000179776,0.0,1.0,0.0,0.0
ENSG00000134245-ENSG00000145423,0.0,1.0,0.0,0.0
ENSG00000060656-ENSG00000163377,0.0,1.0,0.0,0.0
