,corr,moran_a,moran_b,sum_a,sum_b,moran_ave,sum_ave,moran_ab
ENSG00000183150-ENSG00000168913,0.00917452203066536,0.01802754886019891,0.2219755762044801,484.0,3751.0,0.12000156253233951,2117.5,0.01366760468603708
ENSG00000165197-ENSG00000128052,0.014842925118469389,0.08052954557477644,0.03427827652086624,164.0,513.0,0.057403911047821346,338.5,0.003595274264020967
ENSG00000146072-ENSG00000142192,0.4200016000410652,0.1389162189148111,0.35998961434981663,3280.0,101585.0,0.24945291663231386,52432.5,0.16906269781256844
ENSG00000183395-ENSG00000128285,-0.04311003354023359,0.4557513438896364,0.09072563250787938,20922.0,1060.0,0.2732384881987579,10991.0,-0.03059465853796048
ENSG00000170075-ENSG00000197746,0.13333071978111918,0.1931371159570261,0.40610749035215055,11115.0,55082.0,0.2996223031545883,33098.5,0.082967655441645
ENSG00000162706-ENSG00000177707,0.34767046537234103,0.4899065365844151,0.22139401709045609,20422.0,1993.0,0.35565027683743555,11207.5,0.18038993174800194
ENSG00000144476-ENSG00000107562,0.11975262175988213,0.051200118425044655,0.07677745527187288,617.0,1458.0,0.06398878684845877,1037.5,0.04531384602064512
ENSG00000070886-ENSG00000143590,0.033049400483941505,0.0445627111560029,0.1056121948414131,269.0,2646.0,0.075087452998708,1457.5,-0.006842706440288732
ENSG00000181195-ENSG00000082556,0.036163658608252526,0.619413665737906,0.12713893878564403,7805.0,282.0,0.373276302261775,4043.5,0.05366580369637129
ENSG00000134259-ENSG00000064300,-0.029520212892707974,0.06962603129853046,0.07708094722611326,361.0,135.0,0.07335348926232185,248.0,-0.01780903482210343
ENSG00000134245-ENSG00000145423,0.055151735369923814,0.130602496693065,0.07744911208493535,346.0,132.0,0.10402580438900018,239.0,0.05178489308816235
ENSG00000162552-ENSG00000145423,0.00403230998008822,0.1698442267840929,0.07744911208493535,1067.0,132.0,0.12364666943451412,599.5,0.006276628610691366
ENSG00000197635-ENSG00000107562,0.10145121549513711,0.04292122871046228,0.07677745527187288,220.0,1458.0,0.05984934199116758,839.0,0.020767430812056623
ENSG00000108379-ENSG00000145423,0.008516341984945332,0.29000194442177624,0.07744911208493535,552.0,132.0,0.1837255282533558,342.0,0.008573924946923531
