,adj1,adj2,adj3,adj4,sum
ENSG00000148400-ENSG00000101384,1.0,1.0,1.0,1.0,1111
ENSG00000099250-ENSG00000112715,1.0,1.0,1.0,1.0,1111
ENSG00000170381-ENSG00000004399,1.0,1.0,1.0,1.0,1111
ENSG00000154928-ENSG00000108947,1.0,1.0,1.0,1.0,1111
ENSG00000157404-ENSG00000049130,1.0,1.0,1.0,1.0,1111
ENSG00000030582-ENSG00000134243,1.0,1.0,1.0,1.0,1111
ENSG00000176697-ENSG00000158769,1.0,1.0,1.0,1.0,1111
ENSG00000101958-ENSG00000196937,1.0,1.0,1.0,1.0,1111
ENSG00000154721-ENSG00000166086,1.0,1.0,1.0,1.0,1111
ENSG00000188157-ENSG00000149294,1.0,1.0,1.0,1.0,1111
ENSG00000134250-ENSG00000184916,1.0,1.0,1.0,1.0,1111
ENSG00000170558-ENSG00000170558,1.0,1.0,1.0,1.0,1111
ENSG00000154764-ENSG00000120057,1.0,1.0,1.0,1.0,1111
ENSG00000167244-ENSG00000140443,1.0,1.0,1.0,1.0,1111
ENSG00000170075-ENSG00000197746,1.0,1.0,1.0,1.0,1111
ENSG00000106123-ENSG00000125266,1.0,1.0,1.0,1.0,1111
ENSG00000122218-ENSG00000134243,1.0,1.0,1.0,1.0,1111
ENSG00000066468-ENSG00000068078,1.0,1.0,1.0,1.0,1111
ENSG00000099250-ENSG00000075213,1.0,1.0,1.0,1.0,1111
ENSG00000184349-ENSG00000135333,1.0,1.0,1.0,1.0,1111
ENSG00000100311-ENSG00000134853,1.0,1.0,1.0,1.0,1111
ENSG00000066468-ENSG00000143324,1.0,1.0,1.0,1.0,1111
ENSG00000184500-ENSG00000092445,1.0,1.0,1.0,1.0,1111
ENSG00000077782-ENSG00000149294,1.0,1.0,1.0,1.0,1111
ENSG00000162552-ENSG00000120057,1.0,1.0,1.0,1.0,1111
ENSG00000119699-ENSG00000069702,1.0,1.0,1.0,1.0,1111
ENSG00000188157-ENSG00000105426,1.0,1.0,1.0,1.0,1111
ENSG00000185737-ENSG00000178568,1.0,1.0,1.0,1.0,1111
ENSG00000185896-ENSG00000196937,1.0,1.0,1.0,1.0,1111
ENSG00000125266-ENSG00000116106,1.0,1.0,1.0,1.0,1111
ENSG00000241563-ENSG00000278195,1.0,1.0,1.0,1.0,1111
ENSG00000107731-ENSG00000074527,1.0,1.0,1.0,1.0,1111
ENSG00000133636-ENSG00000134243,1.0,1.0,1.0,1.0,1111
ENSG00000156687-ENSG00000074527,1.0,1.0,1.0,1.0,1111
ENSG00000019582-ENSG00000122218,1.0,1.0,1.0,1.0,1111
ENSG00000162706-ENSG00000182985,1.0,1.0,1.0,1.0,1111
ENSG00000157168-ENSG00000205213,1.0,1.0,1.0,1.0,1111
ENSG00000067182-ENSG00000030582,1.0,1.0,1.0,1.0,1111
ENSG00000180616-ENSG00000157005,1.0,1.0,1.0,1.0,1111
ENSG00000154639-ENSG00000196937,1.0,1.0,1.0,1.0,1111
ENSG00000106123-ENSG00000090776,1.0,1.0,1.0,1.0,1111
ENSG00000135414-ENSG00000169604,1.0,1.0,1.0,1.0,1111
ENSG00000162552-ENSG00000128602,1.0,1.0,1.0,1.0,1111
ENSG00000196189-ENSG00000004399,1.0,1.0,1.0,1.0,1111
ENSG00000110400-ENSG00000177707,1.0,1.0,1.0,1.0,1111
ENSG00000113578-ENSG00000066468,1.0,1.0,1.0,1.0,1111
ENSG00000241563-ENSG00000180616,1.0,1.0,1.0,1.0,1111
ENSG00000125266-ENSG00000182580,1.0,1.0,1.0,1.0,1111
ENSG00000162706-ENSG00000088367,1.0,1.0,1.0,1.0,1111
ENSG00000181195-ENSG00000112038,1.0,1.0,1.0,1.0,1111
ENSG00000162552-ENSG00000162998,1.0,1.0,1.0,1.0,1111
ENSG00000182985-ENSG00000182985,1.0,1.0,1.0,1.0,1111
ENSG00000065320-ENSG00000113763,1.0,1.0,1.0,1.0,1111
ENSG00000106123-ENSG00000108947,1.0,1.0,1.0,1.0,1111
ENSG00000241563-ENSG00000139874,1.0,1.0,1.0,1.0,1111
ENSG00000136040-ENSG00000138623,1.0,1.0,1.0,1.0,1111
ENSG00000182168-ENSG00000065320,1.0,1.0,1.0,1.0,1111
ENSG00000129219-ENSG00000143761,1.0,1.0,1.0,1.0,1111
ENSG00000081138-ENSG00000081138,1.0,1.0,1.0,1.0,1111
ENSG00000066468-ENSG00000110400,1.0,1.0,1.0,1.0,1111
ENSG00000066468-ENSG00000153233,1.0,1.0,1.0,1.0,1111
ENSG00000143590-ENSG00000145242,1.0,1.0,1.0,1.0,1111
ENSG00000167244-ENSG00000119912,1.0,1.0,1.0,1.0,1111
ENSG00000189056-ENSG00000157193,1.0,1.0,1.0,1.0,1111
ENSG00000149294-ENSG00000176697,1.0,1.0,1.0,1.0,1111
ENSG00000176697-ENSG00000148053,1.0,1.0,1.0,1.0,1111
ENSG00000154764-ENSG00000130164,1.0,1.0,1.0,1.0,1111
ENSG00000148400-ENSG00000162552,1.0,1.0,1.0,1.0,1111
ENSG00000068078-ENSG00000116106,1.0,1.0,1.0,1.0,1111
ENSG00000189056-ENSG00000147852,1.0,1.0,1.0,1.0,1111
ENSG00000125510-ENSG00000168081,1.0,1.0,1.0,1.0,1111
ENSG00000066468-ENSG00000112149,1.0,1.0,1.0,1.0,1111
ENSG00000182985-ENSG00000177707,1.0,1.0,1.0,1.0,1111
ENSG00000144476-ENSG00000107562,1.0,1.0,1.0,1.0,1111
ENSG00000142192-ENSG00000137642,1.0,1.0,1.0,1.0,1111
ENSG00000196576-ENSG00000095539,1.0,1.0,1.0,1.0,1111
ENSG00000118257-ENSG00000112715,1.0,1.0,1.0,1.0,1111
ENSG00000068078-ENSG00000102678,1.0,1.0,1.0,1.0,1111
ENSG00000068078-ENSG00000110400,1.0,1.0,1.0,1.0,1111
ENSG00000198910-ENSG00000198910,1.0,1.0,1.0,1.0,1111
ENSG00000114251-ENSG00000135333,1.0,1.0,1.0,1.0,1111
ENSG00000163956-ENSG00000134243,1.0,1.0,1.0,1.0,1111
ENSG00000145147-ENSG00000185008,1.0,1.0,1.0,1.0,1111
ENSG00000153208-ENSG00000183087,1.0,1.0,1.0,1.0,1111
ENSG00000113578-ENSG00000068078,1.0,1.0,1.0,1.0,1111
ENSG00000113578-ENSG00000069702,1.0,1.0,1.0,1.0,1111
ENSG00000157168-ENSG00000178568,1.0,1.0,1.0,1.0,1111
ENSG00000164050-ENSG00000187764,1.0,1.0,1.0,1.0,1111
ENSG00000166086-ENSG00000166086,1.0,1.0,1.0,1.0,1111
ENSG00000101327-ENSG00000112038,1.0,1.0,1.0,1.0,1111
ENSG00000141433-ENSG00000114812,1.0,1.0,1.0,1.0,1111
ENSG00000065320-ENSG00000107731,1.0,1.0,1.0,1.0,1111
ENSG00000112902-ENSG00000198753,1.0,1.0,1.0,1.0,1111
ENSG00000114251-ENSG00000152894,1.0,1.0,1.0,1.0,1111
ENSG00000182580-ENSG00000108947,1.0,1.0,1.0,1.0,1111
ENSG00000114251-ENSG00000169604,1.0,1.0,1.0,1.0,1111
ENSG00000184349-ENSG00000116106,1.0,1.0,1.0,1.0,1111
ENSG00000145147-ENSG00000169855,1.0,1.0,1.0,1.0,1111
ENSG00000092969-ENSG00000069702,1.0,1.0,1.0,1.0,1111
ENSG00000116106-ENSG00000108947,1.0,1.0,1.0,1.0,1111
ENSG00000185559-ENSG00000134250,1.0,1.0,1.0,1.0,1111
ENSG00000187122-ENSG00000169855,1.0,1.0,1.0,1.0,1111
ENSG00000114251-ENSG00000162998,1.0,1.0,1.0,1.0,1111
ENSG00000278195-ENSG00000157005,1.0,1.0,1.0,1.0,1111
ENSG00000125266-ENSG00000154928,1.0,1.0,1.0,1.0,1111
ENSG00000112715-ENSG00000102755,1.0,1.0,1.0,1.0,1111
ENSG00000113361-ENSG00000113361,1.0,1.0,1.0,1.0,1111
ENSG00000182578-ENSG00000157368,1.0,1.0,1.0,1.0,1111
ENSG00000162706-ENSG00000105767,1.0,1.0,1.0,1.0,1111
ENSG00000169218-ENSG00000205213,1.0,1.0,1.0,1.0,1111
ENSG00000114251-ENSG00000120057,1.0,1.0,1.0,1.0,1111
ENSG00000171587-ENSG00000065320,1.0,1.0,1.0,1.0,1111
ENSG00000113578-ENSG00000077782,1.0,1.0,1.0,1.0,1111
ENSG00000143590-ENSG00000135333,1.0,1.0,1.0,1.0,1111
ENSG00000170775-ENSG00000219438,1.0,1.0,1.0,1.0,1111
ENSG00000066468-ENSG00000102678,1.0,1.0,1.0,1.0,1111
ENSG00000143590-ENSG00000116106,1.0,1.0,1.0,1.0,1111
ENSG00000148400-ENSG00000184916,1.0,1.0,1.0,1.0,1111
