,adj1,adj2,adj3,adj4,sum
ENSG00000182985-ENSG00000182985,1.0,1.0,1.0,1.0,1111
ENSG00000135333-ENSG00000169242,1.0,1.0,1.0,1.0,1111
ENSG00000135333-ENSG00000184349,1.0,1.0,1.0,1.0,1111
ENSG00000135333-ENSG00000099617,1.0,1.0,1.0,1.0,1111
ENSG00000146674-ENSG00000149932,1.0,1.0,1.0,1.0,1111
ENSG00000019991-ENSG00000026508,1.0,1.0,1.0,1.0,1111
ENSG00000136040-ENSG00000138623,1.0,1.0,1.0,1.0,1111
ENSG00000177707-ENSG00000110400,1.0,1.0,1.0,1.0,1111
ENSG00000171208-ENSG00000157168,1.0,1.0,1.0,1.0,1111
ENSG00000106123-ENSG00000108947,1.0,1.0,1.0,1.0,1111
ENSG00000106123-ENSG00000090776,1.0,1.0,1.0,1.0,1111
ENSG00000106123-ENSG00000125266,1.0,1.0,1.0,1.0,1111
ENSG00000146648-ENSG00000113070,1.0,1.0,1.0,1.0,1111
ENSG00000146648-ENSG00000030582,1.0,1.0,1.0,1.0,1111
ENSG00000146648-ENSG00000163235,1.0,1.0,1.0,1.0,1111
ENSG00000146648-ENSG00000157168,1.0,1.0,1.0,1.0,1111
ENSG00000108947-ENSG00000154928,1.0,1.0,1.0,1.0,1111
ENSG00000108947-ENSG00000116106,1.0,1.0,1.0,1.0,1111
ENSG00000108379-ENSG00000162998,1.0,1.0,1.0,1.0,1111
ENSG00000074181-ENSG00000198719,1.0,1.0,1.0,1.0,1111
ENSG00000074181-ENSG00000184916,1.0,1.0,1.0,1.0,1111
ENSG00000074181-ENSG00000185559,1.0,1.0,1.0,1.0,1111
ENSG00000074181-ENSG00000101384,1.0,1.0,1.0,1.0,1111
ENSG00000169604-ENSG00000114251,1.0,1.0,1.0,1.0,1111
ENSG00000105989-ENSG00000162998,1.0,1.0,1.0,1.0,1111
ENSG00000134250-ENSG00000101384,1.0,1.0,1.0,1.0,1111
ENSG00000241563-ENSG00000278195,1.0,1.0,1.0,1.0,1111
ENSG00000170775-ENSG00000219438,1.0,1.0,1.0,1.0,1111
ENSG00000105976-ENSG00000019991,1.0,1.0,1.0,1.0,1111
ENSG00000154764-ENSG00000162998,1.0,1.0,1.0,1.0,1111
ENSG00000260314-ENSG00000081237,1.0,1.0,1.0,1.0,1111
ENSG00000111186-ENSG00000104332,1.0,1.0,1.0,1.0,1111
ENSG00000182578-ENSG00000157368,1.0,1.0,1.0,1.0,1111
ENSG00000111186-ENSG00000162998,1.0,1.0,1.0,1.0,1111
ENSG00000196937-ENSG00000185896,1.0,1.0,1.0,1.0,1111
ENSG00000122218-ENSG00000134243,1.0,1.0,1.0,1.0,1111
ENSG00000182580-ENSG00000108947,1.0,1.0,1.0,1.0,1111
ENSG00000182580-ENSG00000090776,1.0,1.0,1.0,1.0,1111
ENSG00000182580-ENSG00000125266,1.0,1.0,1.0,1.0,1111
ENSG00000104332-ENSG00000143816,1.0,1.0,1.0,1.0,1111
ENSG00000104332-ENSG00000114251,1.0,1.0,1.0,1.0,1111
ENSG00000112715-ENSG00000118257,1.0,1.0,1.0,1.0,1111
ENSG00000162337-ENSG00000171243,1.0,1.0,1.0,1.0,1111
ENSG00000147655-ENSG00000205213,1.0,1.0,1.0,1.0,1111
ENSG00000073008-ENSG00000177707,1.0,1.0,1.0,1.0,1111
ENSG00000182168-ENSG00000065320,1.0,1.0,1.0,1.0,1111
ENSG00000159899-ENSG00000163273,1.0,1.0,1.0,1.0,1111
ENSG00000113389-ENSG00000163273,1.0,1.0,1.0,1.0,1111
ENSG00000162552-ENSG00000148400,1.0,1.0,1.0,1.0,1111
ENSG00000004399-ENSG00000170381,1.0,1.0,1.0,1.0,1111
ENSG00000004399-ENSG00000196189,1.0,1.0,1.0,1.0,1111
ENSG00000164690-ENSG00000164161,1.0,1.0,1.0,1.0,1111
ENSG00000049130-ENSG00000157404,1.0,1.0,1.0,1.0,1111
ENSG00000135218-ENSG00000186340,1.0,1.0,1.0,1.0,1111
ENSG00000135218-ENSG00000137801,1.0,1.0,1.0,1.0,1111
ENSG00000185737-ENSG00000178568,1.0,1.0,1.0,1.0,1111
ENSG00000134250-ENSG00000184916,1.0,1.0,1.0,1.0,1111
ENSG00000241563-ENSG00000139874,1.0,1.0,1.0,1.0,1111
